Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1882436,"H1N1 DEE 4 Subject 11, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882436/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882437,"H1N1 DEE 4 Subject 11, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882437/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882438,"H1N1 DEE 4 Subject 11, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882438/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882439,"H1N1 DEE 4 Subject 11, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882439/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882440,"H1N1 DEE 4 Subject 11, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882440/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882441,"H1N1 DEE 4 Subject 11, Hour 132","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882441/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882442,"H1N1 DEE 4 Subject 11, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882442/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882443,"H1N1 DEE 4 Subject 11, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882443/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882444,"H1N1 DEE 4 Subject 12, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882444/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882445,"H1N1 DEE 4 Subject 12, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882445/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882446,"H1N1 DEE 4 Subject 12, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882446/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882447,"H1N1 DEE 4 Subject 12, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882447/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882448,"H1N1 DEE 4 Subject 12, Hour 22","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882448/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882449,"H1N1 DEE 4 Subject 12, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882449/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882450,"H1N1 DEE 4 Subject 12, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882450/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882451,"H1N1 DEE 4 Subject 12, Hour 46","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882451/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882452,"H1N1 DEE 4 Subject 12, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882452/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882453,"H1N1 DEE 4 Subject 12, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882453/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882454,"H1N1 DEE 4 Subject 12, Hour 70","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882454/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882455,"H1N1 DEE 4 Subject 12, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882455/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882456,"H1N1 DEE 4 Subject 12, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882456/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882457,"H1N1 DEE 4 Subject 12, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882457/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882458,"H1N1 DEE 4 Subject 12, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882458/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882459,"H1N1 DEE 4 Subject 12, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882459/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882460,"H1N1 DEE 4 Subject 12, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882460/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882461,"H1N1 DEE 4 Subject 12, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882461/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882462,"H1N1 DEE 4 Subject 12, Hour 132","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882462/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882463,"H1N1 DEE 4 Subject 12, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882463/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882464,"H1N1 DEE 4 Subject 12, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882464/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882465,"H1N1 DEE 4 Subject 13, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882465/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882466,"H1N1 DEE 4 Subject 13, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882466/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882467,"H1N1 DEE 4 Subject 13, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882467/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882468,"H1N1 DEE 4 Subject 13, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882468/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882469,"H1N1 DEE 4 Subject 13, Hour 22","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882469/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882470,"H1N1 DEE 4 Subject 13, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882470/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882471,"H1N1 DEE 4 Subject 13, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882471/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882472,"H1N1 DEE 4 Subject 13, Hour 46","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882472/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882473,"H1N1 DEE 4 Subject 13, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882473/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882474,"H1N1 DEE 4 Subject 13, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882474/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882475,"H1N1 DEE 4 Subject 13, Hour 70","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882475/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882476,"H1N1 DEE 4 Subject 13, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882476/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882477,"H1N1 DEE 4 Subject 13, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882477/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882478,"H1N1 DEE 4 Subject 13, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882478/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882479,"H1N1 DEE 4 Subject 13, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882479/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882480,"H1N1 DEE 4 Subject 13, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882480/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882481,"H1N1 DEE 4 Subject 13, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882481/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882482,"H1N1 DEE 4 Subject 13, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882482/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882483,"H1N1 DEE 4 Subject 13, Hour 132","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882483/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882484,"H1N1 DEE 4 Subject 13, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882484/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882485,"H1N1 DEE 4 Subject 13, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882485/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882486,"H1N1 DEE 4 Subject 14, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882486/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882487,"H1N1 DEE 4 Subject 14, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882487/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882488,"H1N1 DEE 4 Subject 14, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882488/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882489,"H1N1 DEE 4 Subject 14, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882489/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882490,"H1N1 DEE 4 Subject 14, Hour 22","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882490/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882491,"H1N1 DEE 4 Subject 14, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882491/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882492,"H1N1 DEE 4 Subject 14, Hour 46","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882492/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882493,"H1N1 DEE 4 Subject 14, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882493/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882494,"H1N1 DEE 4 Subject 14, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882494/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882495,"H1N1 DEE 4 Subject 14, Hour 70","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882495/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882496,"H1N1 DEE 4 Subject 14, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882496/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882497,"H1N1 DEE 4 Subject 14, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882497/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882498,"H1N1 DEE 4 Subject 14, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882498/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882499,"H1N1 DEE 4 Subject 14, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882499/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882500,"H1N1 DEE 4 Subject 14, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882500/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882501,"H1N1 DEE 4 Subject 14, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882501/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882502,"H1N1 DEE 4 Subject 14, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882502/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882503,"H1N1 DEE 4 Subject 14, Hour 132","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882503/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882504,"H1N1 DEE 4 Subject 14, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882504/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882505,"H1N1 DEE 4 Subject 14, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882505/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882506,"H1N1 DEE 4 Subject 15, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882506/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882507,"H1N1 DEE 4 Subject 15, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882507/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882508,"H1N1 DEE 4 Subject 15, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882508/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882509,"H1N1 DEE 4 Subject 15, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882509/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882510,"H1N1 DEE 4 Subject 15, Hour 22","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882510/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882511,"H1N1 DEE 4 Subject 15, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882511/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882512,"H1N1 DEE 4 Subject 15, Hour 46","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882512/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882513,"H1N1 DEE 4 Subject 15, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882513/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882514,"H1N1 DEE 4 Subject 15, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882514/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882515,"H1N1 DEE 4 Subject 15, Hour 70","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882515/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882516,"H1N1 DEE 4 Subject 15, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882516/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882517,"H1N1 DEE 4 Subject 15, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882517/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882518,"H1N1 DEE 4 Subject 15, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882518/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882519,"H1N1 DEE 4 Subject 15, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882519/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882520,"H1N1 DEE 4 Subject 15, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882520/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882521,"H1N1 DEE 4 Subject 15, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882521/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882522,"H1N1 DEE 4 Subject 15, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882522/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882523,"H1N1 DEE 4 Subject 15, Hour 132","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882523/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882524,"H1N1 DEE 4 Subject 15, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882524/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882525,"H1N1 DEE 4 Subject 15, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882525/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882526,"H1N1 DEE 4 Subject 16, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882526/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882527,"H1N1 DEE 4 Subject 16, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882527/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882528,"H1N1 DEE 4 Subject 16, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882528/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882529,"H1N1 DEE 4 Subject 16, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882529/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882530,"H1N1 DEE 4 Subject 16, Hour 22","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882530/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882531,"H1N1 DEE 4 Subject 16, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882531/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882532,"H1N1 DEE 4 Subject 16, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882532/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882533,"H1N1 DEE 4 Subject 16, Hour 46","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882533/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882534,"H1N1 DEE 4 Subject 16, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882534/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882535,"H1N1 DEE 4 Subject 16, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882535/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882536,"H1N1 DEE 4 Subject 16, Hour 70","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882536/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882537,"H1N1 DEE 4 Subject 16, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882537/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882538,"H1N1 DEE 4 Subject 16, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882538/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882539,"H1N1 DEE 4 Subject 16, Hour 94","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882539/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1882540,"H1N1 DEE 4 Subject 16, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1882nnn/GSM1882540/suppl",,"Alfred Hero","Jun 22, 2016"
